id,yVolume,ma5,ma20,ma60
2481,7317,2733,2134,3593
2482,12700,4679,3675,3777
2483,224,116,124,318
2484,1092,730,825,2087
2485,519,532,635,914
2486,1273,1357,1815,4500
2488,75,72,70,175
2489,1207,853,932,2478
2491,75,140,131,134
2492,2698,1405,1254,1803
2493,223,234,162,129
2494,0,0,0,0
2495,2747,3500,3304,4865
2496,11,9,12,18
2497,3963,1342,1237,4461
2498,18615,18561,18578,24094
2499,0,0,0,0
2501,475,462,677,730
2504,1713,1230,1057,1527
2505,258,235,145,146
2506,396,252,278,278
2509,79,39,32,37
2511,487,967,852,612
2514,200,126,130,178
2515,2094,1904,1540,2138
2516,134,125,145,160
2520,749,579,583,806
2524,38,9,22,26
2526,0,0,0,0
2527,79,108,82,101
2528,72,263,191,336
2530,1041,397,413,1092
2534,543,623,1210,1118
2535,400,204,196,246
2536,224,157,82,129
2537,416,441,386,585
2538,685,295,566,472
2539,547,300,180,331
2540,1372,837,355,328
2542,6344,3285,5300,6173
2543,69,60,87,94
2545,462,231,158,190
2546,215,129,112,87
2547,262,247,313,504
2548,877,372,287,326
2596,175,65,46,44
2597,105,72,113,129
2601,1735,1251,1749,1921
2603,21049,18257,23894,29648
2605,2011,1608,3759,3635
2606,4586,5144,7128,8720
2607,2798,2564,3248,3531
2608,259,208,410,329
2609,36192,25054,38662,42650
2610,39350,27300,35762,47857
2611,437,408,1313,1116
2612,607,451,3053,1445
2613,192,231,842,725
2614,2302,4310,5548,6599
2615,13845,13346,25226,20497
2616,751,394,235,222
2617,875,732,1504,1326
2618,43782,36325,33853,43602
2628,0,0,0,0
2630,64,37,34,54
2633,9307,4904,3321,3597
2634,6856,4379,8284,11783
2636,684,766,1362,1725
2637,3665,3344,8882,9643
2640,95,50,46,46
2641,1195,1098,5442,3912
2642,285,401,937,569
2643,34,36,41,63
2701,178,227,106,159
2702,293,290,386,618
2704,69,102,168,144
2705,340,240,208,242
2706,143,125,141,174
2707,1422,1794,1859,1498
2712,16,9,11,12
2718,19,5,4,4
2719,10,8,20,30
2722,23,25,73,103
2723,1507,1613,2398,1838
2724,0,1,0,1
2726,21,28,120,86
2727,1950,1114,1021,1003
2729,140,89,110,86
2731,953,884,2220,2536
2732,2226,4788,1953,1236
2734,256,132,201,193
2736,457,601,1127,1110
2739,133,79,101,86
2740,0,1,1,2
2743,386,576,1641,1696
2745,47,38,88,111
2748,4226,3975,4572,2007
2752,70,64,49,31
2753,1249,1356,1326,1208
2754,422,1057,746,989
2755,39,17,13,15
2756,29,33,40,46
2801,17122,7406,4632,6272
2809,2935,1546,3226,3349
2812,11259,7316,5369,3958
2816,113,63,35,56
2820,712,449,342,445
2823,0,0,0,0
2827,0,0,0,0
2832,193,120,94,119
2833,0,0,0,0
2834,33290,21840,17388,35079
2836,1122,535,368,343
2837,0,0,0,0
2838,1569,757,614,1063
2841,0,0,0,0
2845,6694,4262,3677,3962
2847,0,0,0,0
2849,98,41,46,50
2850,149,122,152,287
2851,4177,3752,5734,2583
2852,389,260,246,229
2854,0,0,0,0
2855,709,498,430,622
2856,0,0,0,0
2867,16211,7593,8672,16154
2880,34101,16951,9953,10002
2881,37955,17519,11667,14276
2882,47217,28952,29173,28399
2883,70563,31273,19658,29664
2884,64738,31156,18198,22433
2885,52477,22907,17688,20773
2886,48595,18741,12986,17077
2887,57211,21639,13168,15319
2888,56957,31433,22837,26425
2889,11577,12647,7553,8709
2890,48845,23818,22325,28657
2891,82623,36059,28853,36919
2892,55330,24045,15040,15052
2897,10808,6818,3792,2407
2901,15,13,12,20
2903,3435,1355,1732,1134
2904,63,33,21,31
2905,369,196,175,346
2906,627,508,1265,1792
2908,126,124,92,94
2910,22,15,18,23
2911,469,202,303,404
2912,5878,2181,1210,1288
2913,1227,584,654,1923
2915,5640,2868,4096,6005
2916,294,549,440,165
2921,0,0,0,0
2923,1,8,13,12
2924,4,7,11,6
2926,13,16,21,26
2928,0,0,0,0
2929,7980,3925,5751,4174
2936,0,0,0,0
2937,5,26,14,14
2939,110,40,51,243
2945,2,3,7,18
2947,0,1,4,4
3002,69,49,78,186
3003,522,349,251,455
3004,182,196,495,302
3005,1001,857,623,992
3006,8072,3439,3299,5339
3008,782,1022,589,679
3009,0,0,0,0
3010,356,198,149,159
3011,275,384,650,651
3013,4219,4185,4749,3706
3014,1046,630,708,736
3015,50,45,65,71
3016,1005,587,489,955
3017,2817,1929,2440,5623
3018,0,0,0,14
3019,541,355,425,964
3020,0,0,0,0
3021,99,54,94,162
3022,1237,1412,1452,2765
3023,755,486,360,488
3024,399,485,400,1063
3025,310,239,363,1802
3026,165,97,124,149
3027,20278,9694,10893,11851
3028,309,266,257,223
3029,371,208,169,177
3030,597,243,253,403
3031,193,88,75,123
3032,48,26,35,62
3033,1557,753,543,802
3034,7516,5313,7335,6554
3035,13515,7935,10151,16361
3036,1646,861,1134,1584
3037,43181,26753,24775,35412
3038,443,389,468,1083
3040,24,19,14,14
3041,1003,534,550,740
3042,1297,812,893,992
3043,65,46,79,348
3044,2368,1113,1397,1386
3045,8942,4169,2476,3024
3046,1130,555,1209,6785
3047,1809,1804,2726,7272
3048,325,319,257,370
3049,1056,797,873,1316
3050,2464,909,953,1476
3051,347,348,407,845
3052,142,142,95,123
3053,0,0,0,0
3054,10,10,24,18
3055,313,360,142,89
3056,529,515,507,794
3057,65,55,86,115
3058,195,147,132,172
3059,3191,1589,1073,3204
3060,189,111,124,169
3061,0,0,0,0
3062,2244,1367,1562,4722
3063,0,0,0,0
3064,42,29,24,10
3066,86,64,150,149
3067,1,1,2,2
3068,0,0,0,0
3069,0,0,0,0
3071,135,88,82,179
3073,4,7,12,14
3078,335,201,221,322
3079,0,0,0,0
3080,0,0,0,0
3081,1568,1188,1406,3964
3083,481,577,1894,993
3085,41,25,14,14
3086,21,30,63,95
3087,0,0,0,0
3088,277,238,295,254
3089,79,52,135,152
3090,261,194,244,379
3092,352,189,184,560
